price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
20-25k,Ford,Kuga,1.5 EcoBoost,Red,20-30k,100-150hp,2019,Benzin,Gear type manual,SUV,Stoff,+6.5f,0-7d
15-20k,BMW,1er,118i,Blue,60-70k,100-150hp,2018,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,50-65d
0-10k,Skoda,Citigo,1.0 MPI,Blue,20-30k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,65-80d
10-15k,Citroen,C3,1.2 VTi,Black,40-50k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
15-20k,Peugeot,308,1.5 Blue-HDi,White,90-100k,100-150hp,2019,Diesel,Gear type automatic,Kombi,Stoff,0-4.5f,15-25d
+30k,Nissan,Navara NP-300,2.3 dCi,Gray,30-40k,150-200hp,2019,Diesel,Gear type automatic,Limousine,Teilleder,+6.5f,65-80d
10-15k,Hyundai,i30,1.4,Black,100k+,0-100hp,2016,Benzin,Gear type manual,Limousine,Stoff,5.5-6.5f,80-100d
10-15k,Ford,Fiesta,1.1,White,20-30k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
20-25k,Renault,Kadjar,1.3 TCe,Red,0-10k,100-150hp,2019,Benzin,Gear type automatic,SUV,Teilleder,5.5-6.5f,7-15d
10-15k,Seat,Ibiza,1.0 TSI,Gray,90-100k,100-150hp,2015,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,65-80d
10-15k,Renault,Kadjar,1.6 dCi Energy,White,90-100k,100-150hp,2015,Diesel,Gear type manual,SUV,Teilleder,0-4.5f,15-25d
15-20k,Volkswagen,T-Roc,1.0 TSI,Gray,10-20k,100-150hp,2019,Benzin,Gear type manual,SUV,Stoff,4.5-5.5f,0-7d
+30k,Volkswagen,T6 Multivan,2.0 TDI,Blue,80-90k,100-150hp,2017,Diesel,Gear type automatic,Bus,Teilleder,5.5-6.5f,15-25d
20-25k,Skoda,Octavia,2.0 TDI,Gray,60-70k,100-150hp,2019,Diesel,Gear type automatic,Kombi,Stoff,0-4.5f,35-50d
15-20k,Ford,Grand Tourneo Connect,1.5 TDCi,Gray,60-70k,0-100hp,2016,Diesel,Gear type manual,Van,Stoff,4.5-5.5f,0-7d
10-15k,Volkswagen,Golf VII,1.0 TSI,White,30-40k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,50-65d
10-15k,Opel,Corsa,1.4,Silver,0-10k,0-100hp,2018,Benzin,Gear type automatic,Limousine,Stoff,5.5-6.5f,0-7d
10-15k,Renault,Megane,1.5 dCi Energy,White,40-50k,100-150hp,2017,Diesel,Gear type manual,Limousine,Stoff,0-4.5f,35-50d
15-20k,Volkswagen,Beetle,1.2 TSI,Yellow,40-50k,100-150hp,2015,Benzin,Gear type manual,Cabrio,Stoff,5.5-6.5f,80-100d
20-25k,Ford,Focus,1.5 EcoBoost,Gray,30-40k,150-200hp,2019,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,65-80d
25-30k,Volkswagen,T-Roc,1.5 TSI,Orange,30-40k,100-150hp,2018,Benzin,Gear type automatic,SUV,Stoff,4.5-5.5f,50-65d
15-20k,Opel,Mokka,1.4 Turbo,Blue,30-40k,100-150hp,2016,Benzin,Gear type automatic,SUV,Teilleder,+6.5f,0-7d
0-10k,Skoda,Octavia,1.2 TSI,Black,80-90k,100-150hp,2013,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,0-7d
20-25k,Citroen,C4 Grand Spacetourer,2.0 Blue-HDi,White,70-80k,150-200hp,2018,Diesel,Gear type automatic,Van,Stoff,4.5-5.5f,50-65d
15-20k,Ford,Kuga,2.0 TDCi,Black,60-70k,100-150hp,2016,Diesel,Gear type manual,SUV,Teilleder,4.5-5.5f,25-35d
10-15k,Smart,fortwo,1.0,Blue,30-40k,0-100hp,2015,Benzin,Gear type automatic,Coupe,Leder,0-4.5f,7-15d
+30k,Skoda,Kodiaq,2.0 TSI,Gray,20-30k,150-200hp,2019,Benzin,Gear type automatic,SUV,Stoff,+6.5f,7-15d
+30k,Jaguar,F-Pace,30d,Black,100k+,+250hp,2018,Diesel,Gear type automatic,SUV,Leder,5.5-6.5f,0-7d
10-15k,Opel,Mokka,1.4 Turbo,Silver,90-100k,100-150hp,2014,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,50-65d
15-20k,Seat,Ibiza,1.0 TSI,Red,50-60k,100-150hp,2018,Benzin,Gear type manual,Limousine,Alcantara,4.5-5.5f,15-25d
10-15k,BMW,1er,116i,Gray,70-80k,100-150hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
0-10k,Fiat,500,0.9,Black,40-50k,0-100hp,2015,Benzin,Gear type manual,Limousine,Teilleder,0-4.5f,0-7d
15-20k,Skoda,Yeti,1.4 TSI,Gray,80-90k,100-150hp,2015,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,0-7d
15-20k,Seat,Leon,1.8 TSI,Black,100k+,150-200hp,2017,Benzin,Gear type automatic,Limousine,Alcantara,5.5-6.5f,0-7d
15-20k,Opel,Zafira Tourer,1.4 Turbo,Blue,0-10k,100-150hp,2016,Benzin,Gear type manual,Van,Stoff,5.5-6.5f,0-7d
20-25k,Renault,Megane,1.3 TCe,Red,20-30k,150-200hp,2019,Benzin,Gear type automatic,Limousine,Teilleder,5.5-6.5f,50-65d
