company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
UWcar s.r.o.,4,Small_buyer,2,7,3,131,2006,184025,2165,0,0,100,25,75,0,348
Marcin Sawicki,67,Top_buyer,8,3,8,115,2003,248645,1271,0,1,98,41,58,0,322
UAB EE Transport,10,Small_buyer,4,7,7,160,2010,262254,5450,20,60,20,70,20,10,422
DEWEISER,15,Medium_buyer,5,6,11,365,2012,77247,38310,73,13,13,0,100,0,1752
"Feldbusch Automobile, Inh. Yunus Takir",26,Medium_buyer,6,7,8,133,2007,126335,3733,15,30,53,15,84,0,-99
Auto Freydank GmbH & Co. KG,22,Medium_buyer,6,3,10,170,2018,28018,22406,50,22,27,9,72,18,1071
GABCAT TEAM SRL,15,Medium_buyer,5,6,5,133,2007,266556,2177,33,6,60,93,6,0,348
AUTOBEDRIJF GEERINGS.JR,7,Small_buyer,3,9,9,154,2019,43654,30650,14,57,28,14,85,0,918
Reforma SH.P.K.,4,Small_buyer,2,1,9,262,2018,79487,50050,25,75,0,100,0,0,1567
BERRYBOB J.D.O.O.,5,Small_buyer,3,3,5,103,2013,156022,4744,0,0,100,100,0,0,569
SARL SNGA,1,Small_buyer,1,6,3,102,2012,99946,7177,0,0,100,0,100,0,892
Broker Auto Group LLC,1,Small_buyer,1,3,1,105,2001,123308,954,0,0,100,0,100,0,362
SYNERGY S.R.L.,13,Small_buyer,4,4,10,186,2015,87085,22709,0,76,23,92,7,0,850
Autobazar Tomáš Galocz,2,Small_buyer,1,10,1,67,2002,168282,396,0,0,100,0,100,0,108
KARAMOYZIS IOANNIS XRISTOS||KARAMOUZIS CARS,6,Small_buyer,3,3,5,90,2012,121474,3480,0,0,100,0,100,0,686
Auto empire 2022 GmbH,3,Small_buyer,2,10,3,135,2000,157071,2009,0,66,33,0,100,0,351
Auto Michels GmbH,1,Small_buyer,1,9,3,100,2017,39079,9800,0,0,100,0,100,0,856
dutch.mobility,7,Small_buyer,3,6,6,108,2012,101387,6447,0,0,100,0,100,0,123
PrzemoCars Przemysław Kozioł,18,Medium_buyer,5,7,7,124,2009,185884,3328,0,11,88,22,77,0,536
Nordic Biler,1,Small_buyer,1,10,5,150,2021,15232,34626,0,100,0,0,0,100,1124
"PR Fahrzeughandel, Inh. Robert Posavcevic",1,Small_buyer,1,10,1,85,2007,226368,842,0,0,100,100,0,0,240
Ihr Automobilmacher GmbH,5,Small_buyer,3,6,8,167,2015,66136,19184,80,20,0,60,40,0,1338
Sachsengarage GmbH - Dresden,5,Small_buyer,3,10,9,165,2018,35875,23611,0,60,40,20,80,0,936
Autohaus Farnbacher GmbH,1,Small_buyer,1,10,4,72,2018,22372,10170,0,0,100,0,100,0,690
SAS MD PRESTIGE CARS,8,Small_buyer,3,4,9,369,2009,116073,26198,25,50,25,0,100,0,2029
Autohaus Vieweger GmbH,29,Medium_buyer,6,7,10,110,2017,32268,16285,10,44,44,10,89,0,1125
Reben Shina,1,Small_buyer,1,10,2,180,2002,196274,2150,0,0,100,0,100,0,439
ALBERTO LORENZO SAYANS,8,Small_buyer,3,9,6,120,2011,147617,5476,0,25,75,100,0,0,1023
REBECA LOPEZ PALACIOS,6,Small_buyer,3,5,7,199,2012,184414,12238,33,33,33,100,0,0,572
"Blitz Automobile, Inh. Haci Bektas Akdogan",1,Small_buyer,1,10,2,110,2006,150433,2035,0,0,100,0,100,0,620
MB-DOM MACIEJ BIENIEK,1,Small_buyer,1,10,2,68,2009,208743,1403,0,0,100,0,100,0,309
Vitaliy Marchenko,1,Small_buyer,1,7,2,110,2011,165893,2534,0,0,100,0,100,0,246
PAVCAR Agnieszka Kozłowska,27,Medium_buyer,6,1,9,142,2009,178323,3842,3,11,85,44,55,0,408
