stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
BD16069,31390,BMW,5er,530i,Benzin,6,6-7,30+,2018,252,103235,Gear type automatic,1023
XK34641,17720,Opel,Grandland X,1.2,Benzin,6,6-7,15_20,2018,130,45691,Gear type manual,1035
PM62053,12845,Kia,Sportage,1.6 GDI,Benzin,10,10-11,10_15,2014,135,87865,Gear type manual,1035
LV32580,9018,Toyota,Yaris,1.0 VVT-i,Benzin,7,6-7,0_10,2016,70,106921,Gear type manual,8111
GA49312,13290,Seat,Leon,1.4 TSI,Benzin,9,8-9,10_15,2015,125,101543,Gear type manual,1023
TV29585,26900,Skoda,Superb,2.0 TSI,Benzin,6,6-7,25_30,2017,220,53211,Gear type automatic,1023
HN13037,17990,Skoda,Fabia,1.4 TSI,Benzin,6,6-7,15_20,2018,125,32006,Gear type automatic,8111
KP99346,37290,Volkswagen,Arteon Shooting Brake,2.0 TDI,Diesel,3,2-3,30+,2021,200,57263,Gear type automatic,1023
MJ84167,12390,Hyundai,ix20,1.6,Benzin,8,8-9,10_15,2016,125,30208,Gear type manual,1038
VK07758,23039,Mercedes-Benz,C-Klasse,C 200 CGI,Benzin,7,6-7,20_25,2017,184,102420,Gear type automatic,1023
SU84825,19990,Skoda,Octavia,1.5 TSI ACT,Benzin,4,4-5,15_20,2020,150,104908,Gear type automatic,1023
YR10364,30390,Mercedes-Benz,A-Klasse,A 220,Benzin,5,4-5,30+,2019,190,46761,Gear type automatic,1025
UN59355,19246,Volkswagen,Golf VII Sportsvan,1.0 TSI,Benzin,4,4-5,15_20,2020,116,14584,Gear type manual,1038
HX36435,18161,Volkswagen,Polo,1.0 TSI,Benzin,6,6-7,15_20,2018,115,47379,duplex,1025
JY89150,18069,Audi,Q3,1.4 TFSI,Benzin,9,8-9,15_20,2015,150,91776,duplex,1035
AY64787,16098,MINI,MINI,One,Benzin,7,6-7,15_20,2017,102,12726,Gear type manual,8111
MC81785,34450,Audi,A6,50 TDI,Diesel,5,4-5,30+,2018,286,104930,Gear type automatic,1025
RK14644,27990,Mercedes-Benz,A-Klasse,A 220,Benzin,6,6-7,25_30,2018,190,57565,Gear type automatic,1025
TC41533,13990,Nissan,Qashqai,1.2,Benzin,7,6-7,10_15,2016,115,90545,Gear type manual,1035
LS89375,31525,Volkswagen,Touran,1.5 TSI,Benzin,4,4-5,30+,2020,150,18855,Gear type automatic,1038
FP58629,20490,Audi,A3,1.4 TFSI ACT,Benzin,7,6-7,20_25,2017,150,81036,Gear type automatic,1025
RA64435,19850,Ford,Fiesta,1.0 EcoBoost,Benzin,4,4-5,15_20,2020,125,21246,Gear type automatic,8111
CJ67889,20900,Hyundai,Kona,1.0 T-GDI,Benzin,2,2-3,20_25,2021,120,19488,Gear type manual,1035
NF28036,16490,Mazda,3,2.0,Benzin,8,8-9,15_20,2016,120,25193,Gear type manual,1025
GB56744,18286,Skoda,Octavia,2.0 TDI,Diesel,7,6-7,15_20,2017,185,108886,Gear type manual,1023
VS09195,9890,Volkswagen,up!,1.0,Benzin,8,8-9,0_10,2016,75,63014,Gear type manual,8111
XA88218,14600,Hyundai,i20,1.2,Benzin,3,2-3,10_15,2020,84,20487,Gear type manual,8111
NC87228,13190,Kia,Rio,1.0 TGDI,Benzin,7,6-7,10_15,2017,120,93098,Gear type manual,8111
NW48183,14415,Mazda,3,2.0,Benzin,8,8-9,10_15,2015,120,68347,Gear type manual,1025
JA36824,8740,Suzuki,Swift,1.2,Benzin,10,10-11,0_10,2013,95,83704,Gear type manual,8111
GG50110,18750,Audi,A5 Sportback,1.8 TFSI,Benzin,8,8-9,15_20,2016,145,47956,Gear type manual,1025
GD47821,33911,Ford,Ranger,2.0 TDCi,Diesel,4,4-5,30+,2020,212,74778,Gear type automatic,1027
YF90155,11630,Skoda,Rapid,1.0 TSI,Benzin,6,6-7,10_15,2017,110,88546,Gear type manual,1025
PP60521,14874,Ford,Kuga,2.0 TDCi,Diesel,9,8-9,10_15,2015,180,101606,Gear type manual,1035
DL83729,28420,Audi,Q3,35 TFSI,Benzin,4,4-5,25_30,2019,150,47725,Gear type manual,1035
ZC42101,16190,Smart,forfour,0.9 Turbo,Benzin,5,4-5,15_20,2018,90,21075,Gear type automatic,8111
DB78684,12250,Audi,A1,1.2 TFSI,Benzin,10,10-11,10_15,2014,85,94545,Gear type manual,8111
VP53308,16695,Volkswagen,Polo,1.0 TSI,Benzin,7,6-7,15_20,2017,110,64654,Gear type automatic,8111
UZ82311,42209,Volvo,XC 60,2.0 B4,Diesel,3,2-3,30+,2021,197,25864,Gear type automatic,1035
