dates,cars_sold_de,cars_online,avg_buyprice,bookmarks,opportunity
2022-08-28,35,4145,16573,1680,2578
2022-08-29,69,4099,16614,1866,3500
2022-08-30,78,4026,16630,1691,3360
2022-08-31,71,4041,16652,1737,3387
2022-09-01,66,4146,16635,1714,3117
2022-09-02,77,4164,16672,1618,3030
2022-09-03,48,4142,16648,1667,2780
2022-09-04,39,4103,16688,1711,2690
2022-09-05,85,4035,16735,1837,3374
2022-09-06,75,4028,16670,1734,3312
2022-09-07,81,4024,16741,1669,3288
2022-09-08,67,4031,16795,1618,3139
2022-09-09,66,3980,16855,1776,2993
2022-09-10,51,3932,16906,1637,2840
2022-09-11,31,3901,16886,1882,2613
2022-09-12,91,3778,16927,1668,3538
2022-09-13,78,3703,17033,1836,3397
2022-09-14,86,3812,17066,1721,3546
2022-09-15,62,3793,17111,1728,3228
2022-09-16,75,3753,17167,1646,3239
2022-09-17,47,3735,17202,1526,2809
2022-09-18,34,3681,17217,2034,2524
2022-09-19,95,3607,17232,1543,3591
2022-09-20,86,3479,17288,1688,3428
2022-09-21,66,3373,17283,1661,3354
2022-09-22,85,3450,17324,1634,3127
2022-09-23,66,3475,17337,1662,3015
2022-09-24,69,3436,17389,1712,2788
2022-09-25,36,3409,17442,1898,2576
2022-09-26,97,3329,17535,1586,3457
2022-09-27,76,3322,17612,1562,3377
2022-09-28,88,3262,17661,1963,3224
2022-09-29,65,3238,17696,2122,3233
2022-09-30,100,3182,17790,1960,2942
2022-10-01,52,3141,17798,1790,2515
2022-10-02,30,3107,17828,1986,2514
2022-10-03,36,3047,17887,2031,3240
2022-10-04,58,2967,17896,1983,3409
2022-10-05,63,2932,17871,2172,3253
2022-10-06,91,2851,17910,2103,3152
2022-10-07,64,2821,17946,2200,2966
2022-10-08,43,2804,17954,2200,2596
2022-10-09,29,2784,17985,2200,2470
2022-10-10,70,2741,18066,2200,3394
2022-10-11,81,2702,18095,2200,3112
2022-10-12,62,2693,18131,2760,3156
2022-10-13,72,2820,18210,2733,3293
2022-10-14,69,2822,18146,2119,2993
2022-10-15,47,2841,18175,2136,2791
2022-10-16,32,2818,18182,2070,2530
2022-10-17,75,2717,18275,2117,3466
2022-10-18,78,2711,18308,1896,3501
2022-10-19,68,2709,18317,2000,3185
2022-10-20,69,2726,18282,2083,3202
2022-10-21,81,2706,18284,2246,3142
2022-10-22,53,2732,18306,2388,2687
2022-10-23,33,2704,18352,2764,2520
2022-10-24,71,2591,18482,2148,3335
2022-10-25,62,2561,18472,1983,3319
2022-10-26,63,2625,18331,1919,3219
