id,first_price,eligible_month,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
FR41980,13900.0,August,DE,0,Dacia,Duster,1.2 TCe,Black,2017,SUV,Stoff,6.1,52229,125,Benzin,manual,24
JV78219,16500.0,August,DE,0,Kia,Sportage,2.0 CRDi,Black,2014,SUV,Teilleder,7.2,82001,185,Diesel,automatic,71
AN27185,36990.0,February,DE,0,Cupra,Ateca,2.0 TSI,Black,2021,SUV,Alcantara,7.7,18705,300,Benzin,automatic,1
EB31802,16990.0,September,DE,1,Skoda,Octavia,1.4 TSI,Gray,2015,Kombi,Teilleder,5.0,82781,150,Benzin,automatic,12
NR17277,21490.0,November,DE,0,Ford,Focus,2.0 EcoBoost,Yellow,2018,Limousine,Teilleder,6.8,62651,250,Benzin,manual,57
WK67100,15850.0,March,ES,0,Skoda,Yeti,1.2 TSI,Black,2015,SUV,Stoff,6.4,29281,105,Benzin,manual,68
AF03077,11200.0,November,DE,0,Hyundai,i20,1.0 TDGI,Black,2018,Limousine,Stoff,4.4,54802,101,Benzin,manual,40
UU19648,10300.0,September,DE,0,Ford,Fiesta,1.0 EcoBoost,Black,2013,Limousine,Stoff,4.3,15717,125,Benzin,manual,55
HR17290,12290.0,April,DE,0,Fiat,500,0.9,Red,2015,Limousine,Stoff,3.8,32896,85,Benzin,automatic,1
UW70765,51240.0,March,DE,0,Audi,Q7,3.0 V6 TDI,Gray,2015,SUV,Leder,6.2,30716,218,Diesel,automatic,24
UJ02320,11390.0,April,DE,0,Dacia,Sandero II,0.9 TCe,Gray,2017,Limousine,Stoff,5.5,16827,90,Benzin,manual,17
CU35042,20550.0,April,DE,0,Volkswagen,T-Roc,1.0 TSI,White,2018,SUV,Stoff,5.1,60134,115,Benzin,manual,50
KC22364,35490.0,October,DE,0,Nissan,Navara NP-300,2.3 dCi,Gray,2018,Limousine,Teilleder,6.9,19837,190,Diesel,automatic,12
UJ39376,9220.0,March,DE,0,Smart,fortwo,1.0,Gray,2015,Coupe,Stoff,4.1,29285,70,Benzin,manual,15
PP08244,16500.0,April,DE,0,Ford,Focus,1.0 EcoBoost,Blue,2018,Kombi,Stoff,4.8,26663,125,Benzin,manual,113
VC95781,19400.0,April,DE,0,Mitsubishi,Eclipse Cross,1.5 T-MIVEC,Gray,2017,SUV,Stoff,6.6,67483,163,Benzin,manual,57
VD73198,20610.0,March,DE,0,Mazda,CX-3,2.0,Gray,2017,SUV,Leder,6.3,54751,150,Benzin,automatic,52
AE57036,12100.0,September,DE,0,Hyundai,i20,1.2,Brown,2018,Limousine,Stoff,5.8,7154,85,Benzin,manual,23
VC83793,16100.0,July,DE,0,Volkswagen,Passat,2.0 TDI,Black,2014,Kombi,Leder,5.7,89511,177,Diesel,automatic,54
KL22280,12100.0,July,DE,0,Opel,Corsa,1.4,Red,2019,Limousine,Stoff,5.5,1210,90,Benzin,manual,13
JK46407,23730.0,July,DE,0,Volkswagen,Passat,2.0 TDI,Black,2018,Kombi,Alcantara,4.2,68402,150,Diesel,manual,75
SR46293,14890.0,May,DE,0,Mitsubishi,ASX,1.6,White,2016,SUV,Stoff,5.7,62904,117,Benzin,manual,100
KZ46980,16290.0,March,DE,0,Seat,Leon,1.4 TSI,Black,2015,Kombi,Alcantara,4.7,85458,150,Benzin,automatic,1
