stock_number,retail_country,rating_scale,rates,make,model,mileage_cluster,mileage,horsepower,built_year,esp,fueltype,geartype,body_type
FE28497,PL,5,5- Too high,Skoda,Superb,60-70k,65304,218,2020,31422.0,Hybrid,duplex,Kombi
WL97609,DE,1,1- Very Good,Dacia,Duster,100k+,100596,125,2015,8990.0,Benzin,Gear type manual,SUV
JU98437,IT,5,5- Too high,Jeep,Renegade,50-60k,52169,120,2019,20999.0,Diesel,Gear type manual,SUV
XK98556,BE,4,4- A little high,Lexus,CT-Serie,30-40k,30116,100,2018,22999.0,Hybrid,Gear type automatic,Limousine
UZ77734,IT,4,4- A little high,Cupra,Formentor,0-10k,3191,150,2022,34499.0,Benzin,duplex,SUV
NS20207,PL,2,2- Good,Jaguar,E-Pace,100k+,142045,240,2018,26516.0,Diesel,Gear type automatic,SUV
MZ84193,DE,5,5- Too high,Ford,Focus,100k+,116653,250,2016,16490.0,Benzin,Gear type manual,Limousine
ZD89220,DE,3,3- Appropriate,Hyundai,i20,20-30k,21629,85,2014,8600.0,Benzin,Gear type manual,Limousine
WY49765,DE,4,4- A little high,Volkswagen,Tiguan Allspace,70-80k,70249,190,2018,34990.0,Diesel,Gear type automatic,SUV
CN84633,IT,4,4- A little high,Opel,Zafira Tourer,60-70k,68838,135,2014,12099.0,Diesel,Gear type manual,Van
TT24659,PL,4,4- A little high,Mercedes-Benz,GLA-Klasse,100k+,146851,122,2017,19607.0,Benzin,Gear type manual,SUV
LD27771,BE,2,2- Good,BMW,4er,60-70k,63501,185,2018,26499.0,Benzin,Gear type automatic,Coupe
FJ26665,DE,3,3- Appropriate,Hyundai,Tucson,20-30k,23686,150,2020,30490.0,Benzin,Gear type manual,SUV
AS06006,IT,4,4- A little high,Chevrolet,Trax,20-30k,23664,115,2013,8999.0,Benzin,Gear type manual,SUV
NZ94794,DE,5,5- Too high,BMW,X4,60-70k,67638,185,2017,33690.0,Benzin,Gear type automatic,SUV
SJ74280,PL,4,4- A little high,Lexus,CT-Serie,100k+,110483,100,2012,12144.0,Hybrid,Gear type automatic,Limousine
VP95727,IT,4,4- A little high,Dacia,Duster II,30-40k,39382,116,2019,17799.0,Diesel,Gear type manual,SUV
HU12082,DE,4,4- A little high,Mercedes-Benz,A-Klasse,50-60k,51694,306,2019,37990.0,Benzin,Gear type automatic,Limousine
XA23675,IT,4,4- A little high,MINI,Countryman,70-80k,77019,110,2014,14099.0,Diesel,Gear type manual,SUV
SS96267,IT,4,4- A little high,BMW,X2,30-40k,30832,150,2018,29099.0,Diesel,Gear type automatic,SUV
GN81317,IT,4,4- A little high,Citroen,C4,0-10k,7653,131,2022,24799.0,Benzin,Gear type manual,Limousine
LN25155,IT,4,4- A little high,Peugeot,2008,100k+,101397,100,2017,12599.0,Diesel,Gear type manual,SUV
VT85923,IT,1,1- Very Good,Opel,Corsa,100k+,108776,75,2019,12000.0,Gas,Gear type manual,Limousine
FY22944,IT,4,4- A little high,Mercedes-Benz,A-Klasse,70-80k,70318,115,2018,22799.0,Diesel,Gear type automatic,Limousine
SK19706,PL,1,1- Very Good,Kia,Sportage,100k+,171707,115,2014,11288.0,Diesel,Gear type manual,SUV
VP64762,IT,4,4- A little high,Toyota,Auris,100k+,105753,100,2014,12499.0,Hybrid,Gear type automatic,Limousine
VY44360,DE,5,5- Too high,Land Rover,Discovery 5,70-80k,71969,306,2018,45990.0,Diesel,Gear type automatic,SUV
AY05546,IT,4,4- A little high,Hyundai,i10,0-10k,9306,67,2020,12999.0,Benzin,Gear type manual,Limousine
VN12805,IT,5,5- Too high,Seat,Ateca,70-80k,71294,150,2017,18699.0,Diesel,Gear type manual,SUV
LA05393,IT,5,5- Too high,Land Rover,Discovery 5,70-80k,71168,240,2017,32099.0,Diesel,Gear type automatic,SUV
ZU83904,DE,4,4- A little high,Mercedes-Benz,A-Klasse,30-40k,35196,190,2018,31790.0,Benzin,Gear type automatic,Limousine
FV10278,AT,4,4- A little high,Skoda,Fabia,0-10k,4886,110,2019,17690.0,Benzin,duplex,Kombi
WJ03512,PL,4,4- A little high,Nissan,X-Trail,100k+,162517,130,2015,14378.0,Diesel,Gear type manual,SUV
GR39822,DE,1,1- Very Good,BMW,X4,90-100k,97684,258,2016,32490.0,Diesel,Gear type automatic,SUV
YM44280,DE,3,3- Appropriate,Fiat,500,30-40k,38584,70,2015,10390.0,Benzin,Gear type manual,Limousine
LN49028,IT,4,4- A little high,Nissan,Qashqai,50-60k,56158,115,2016,14999.0,Benzin,Gear type manual,SUV
EN14555,DE,4,4- A little high,Dacia,Duster,30-40k,39253,125,2017,14190.0,Benzin,Gear type manual,SUV
PK00270,DE,5,5- Too high,Audi,A6,40-50k,44107,150,2017,26990.0,Diesel,duplex,Kombi
XJ26271,DE,5,5- Too high,BMW,2er,40-50k,42779,192,2018,22272.0,Benzin,Gear type automatic,Van
CJ40002,DE,2,2- Good,Renault,Kadjar,30-40k,31906,130,2018,15971.0,Benzin,Gear type manual,SUV
BA36726,PL,4,4- A little high,Ford,Kuga,40-50k,43614,120,2020,22796.0,Diesel,Gear type manual,SUV
YB47351,DE,3,3- Appropriate,Volkswagen,Passat,70-80k,74903,150,2018,19690.0,Diesel,Gear type automatic,Kombi
NU02624,DE,4,4- A little high,Ford,Mondeo,70-80k,75217,203,2018,22190.0,Benzin,Gear type automatic,Kombi
XL79658,IT,5,5- Too high,Peugeot,2008,10-20k,19008,110,2021,23599.0,Diesel,Gear type manual,SUV
FG38039,IT,3,3- Appropriate,Fiat,Tipo,40-50k,49241,95,2017,11899.0,Benzin,Gear type manual,Limousine
MK05762,PL,5,5- Too high,Audi,Q5,100k+,149682,190,2019,32942.0,Diesel,duplex,SUV
NJ59756,IT,3,3- Appropriate,Toyota,AYGO,30-40k,39584,70,2017,11399.0,Benzin,Gear type manual,Limousine
EH44077,DE,4,4- A little high,Jeep,Renegade,80-90k,86488,140,2017,17549.0,Benzin,Gear type automatic,SUV
YB77839,DE,2,2- Good,Hyundai,i30,30-40k,38298,275,2019,26486.0,Benzin,Gear type manual,Limousine
SC74252,DE,4,4- A little high,DS Automobiles,DS7 Crossback,50-60k,53146,224,2019,29716.0,Benzin,Gear type automatic,SUV
AH74130,DE,5,5- Too high,Toyota,RAV 4,10-20k,15952,218,2020,41334.0,Hybrid,Gear type automatic,SUV
BF74353,DE,5,5- Too high,BMW,X3,100k+,102116,190,2014,23990.0,Diesel,Gear type automatic,SUV
RS68490,DE,5,5- Too high,Opel,Karl,30-40k,34338,75,2017,11590.0,Benzin,Gear type automatic,Limousine
