dates,cars_sold_de,cars_sold_it,cars_sold_fr,cars_sold_es,cars_sold_pl,cars_sold_se,cars_sold_at,cars_sold_be,cars_sold_nl
2022-03-22,46,22,20,26,17,11,12,4,11
2022-03-23,52,19,16,19,23,9,8,3,9
2022-03-24,59,24,22,21,25,8,5,10,5
2022-03-25,46,16,23,21,19,6,6,9,6
2022-03-26,46,11,26,13,11,8,4,3,5
2022-03-27,20,12,11,8,11,1,1,4,5
2022-03-28,52,28,30,21,17,9,11,6,8
2022-03-29,53,22,25,21,19,14,7,2,5
2022-03-30,49,24,26,23,11,10,14,3,6
2022-03-31,47,35,18,34,16,11,8,10,8
2022-04-01,38,33,25,20,14,8,3,8,13
2022-04-02,41,15,17,19,15,6,5,5,8
2022-04-03,18,11,6,12,7,5,4,3,4
2022-04-04,73,39,29,30,18,13,8,13,10
2022-04-05,52,25,22,39,23,13,9,3,4
2022-04-06,48,33,28,27,16,10,7,10,8
2022-04-07,67,29,23,31,25,11,8,7,9
2022-04-08,55,20,24,31,14,9,7,6,10
2022-04-09,46,23,15,20,8,4,4,4,5
2022-04-10,25,9,8,9,12,4,2,5,9
2022-04-11,58,37,30,24,24,13,7,9,7
2022-04-12,52,27,36,24,19,6,7,15,9
2022-04-13,48,21,34,17,19,7,4,9,6
2022-04-14,53,18,30,14,20,13,4,8,4
2022-04-15,25,27,27,13,21,6,8,8,4
2022-04-16,38,18,10,12,6,8,7,3,3
2022-04-17,20,3,4,8,4,4,1,4,1
2022-04-18,27,11,15,18,7,8,1,6,4
2022-04-19,49,40,32,27,23,9,13,9,7
2022-04-20,46,28,26,16,11,8,8,9,9
2022-04-21,58,25,35,34,23,6,9,12,9
2022-04-22,51,22,31,29,20,10,4,13,8
2022-04-23,42,19,17,18,12,3,5,5,3
2022-04-24,27,3,7,9,11,11,5,2,1
2022-04-25,76,11,38,23,23,10,16,8,7
2022-04-26,74,40,35,13,20,13,6,11,10
