ids,price,make,built_year,mileage,upholstery,fuel_consumption,color_ids,model_ids,subtype_ids,geartype_ids,bodytype_ids,fueltype_ids,horsepower_ids,time_online_to_reserve_
CX55372,12490.0,905,2014,79625,1055,4.9,2,163,52,1,5,1,32,55
CY62347,10890.0,280,2016,115652,1055,3.7,6,319,159,1,5,2,43,61
CY76679,6487.0,285,2013,88997,1055,5.2,12,145,58,1,12,1,2,2
CY79802,22935.0,905,2018,45579,1055,5.3,6,304,124,1,8,1,62,43
CZ60340,18990.0,130,2017,44901,1055,5.1,12,9,335,2,10,1,53,22
DC34605,15490.0,650,2017,22735,1055,5.4,6,57,84,1,5,1,62,36
DD36082,19690.0,340,2018,103125,1055,7.2,12,89,286,1,8,1,66,70
DD94871,7990.0,720,2013,84377,1055,6.8,3,213,138,1,4,1,28,24
DE44622,13120.0,285,2018,99013,1055,4.5,2,145,13,1,12,1,55,16
DE84067,19040.0,905,2018,46180,1055,5.0,3,163,124,1,5,1,62,33
DF37385,16990.0,650,2018,79481,1057,6.2,11,375,99,1,10,1,55,10
DG05583,16100.0,130,2015,86365,1055,4.1,6,9,332,2,10,2,62,7
AA34089,11890.0,345,2016,30836,1055,5.1,10,380,41,1,5,1,18,82
AA63299,10730.0,720,2014,79906,1055,6.2,2,289,49,1,10,1,52,58
AA71048,12990.0,905,2014,21400,1055,5.3,6,243,52,2,12,1,21,14
AC73433,16490.0,830,2015,87587,1058,4.2,4,349,147,1,8,2,43,71
AE60939,10190.0,194,2016,21019,1055,5.1,3,285,5,1,5,1,21,7
AG70058,10299.0,860,2014,48922,1055,5.5,10,370,73,1,12,1,28,44
AH83712,16900.0,130,2018,43180,1055,4.0,3,4,215,1,5,2,39,22
AJ26201,33321.0,130,2018,55860,1058,5.3,12,15,409,2,3,2,123,28
AR50015,15890.0,905,2018,73257,1055,4.9,12,163,30,1,4,1,35,5
AS16966,29810.0,905,2014,111136,1055,8.3,10,305,272,1,10,2,55,38
AT16270,19790.0,060,2016,75882,1055,4.7,3,253,272,1,8,2,62,35
AV61245,19550.0,905,2019,24187,1055,4.6,3,243,30,2,5,1,24,19
AV67370,14990.0,800,2019,41151,1055,4.6,12,144,30,1,5,1,35,80
AX71064,18790.0,905,2019,58303,1058,4.1,6,163,177,2,4,2,39,45
AY57636,25490.0,910,2017,84963,1056,4.5,12,364,238,2,8,2,87,2
AY80644,19990.0,285,2019,17567,1057,6.2,3,136,13,2,8,1,46,64
AZ21719,14390.0,060,2013,118563,1055,6.1,12,36,201,1,4,1,73,6
AZ49415,18490.0,285,2017,42633,1056,6.8,6,166,113,2,10,1,62,7
BB33600,26990.0,800,2021,19156,1055,4.8,6,192,125,2,8,1,62,16
BC20821,10190.0,560,2015,40397,1055,5.2,3,377,8,1,12,1,7,46
BE51071,18090.0,570,2014,46468,1055,5.7,10,62,455,2,10,1,66,32
BG10810,15357.0,905,2014,101554,1055,7.1,13,317,93,2,8,1,70,49
BG92530,27990.0,570,2018,21695,1057,5.0,6,71,465,2,5,1,66,34
BH73905,8490.0,650,2016,35843,1055,5.4,3,111,41,1,5,1,7,45
BK60731,13670.0,650,2017,114942,1055,5.4,2,57,84,2,4,1,62,18
BK76699,6800.0,860,2013,41857,1055,4.4,10,45,8,1,12,1,5,15
BL74057,7090.0,790,2014,52661,1055,4.5,3,217,8,1,5,1,2,15
BM72795,27690.0,670,2019,82813,1057,4.9,2,18,230,2,8,2,80,114
BN88305,15990.0,905,2014,61480,1055,6.2,2,163,177,2,5,2,35,56
BN99783,19590.0,060,2017,107484,1057,5.1,12,34,89,2,5,1,62,56
BT14389,10720.0,345,2016,82855,1055,3.6,12,382,144,1,5,2,35,35
BT40925,25890.0,905,2017,79003,1057,4.4,12,54,272,2,5,2,62,14
BU81663,11500.0,285,2015,57771,1056,4.9,12,63,13,1,10,1,46,21
BV41758,12590.0,670,2016,74271,1055,4.6,2,12,56,1,4,1,50,23
BX51696,37390.0,570,2017,81582,1057,5.0,3,154,553,2,8,2,98,77
BY78719,22490.0,790,2022,33,1055,4.8,2,176,30,2,5,1,35,2
CC86828,36590.0,570,2018,44710,1056,5.0,3,154,549,2,8,2,73,73
CE75131,32990.0,910,2018,69161,1057,6.8,2,341,263,2,4,1,120,48
CG09531,8980.0,345,2016,64825,1055,4.7,12,379,8,1,12,1,4,35
CG19859,22790.0,345,2020,27933,1057,6.3,7,198,178,2,8,1,77,29
CG21664,24594.0,570,2017,92168,1056,6.2,11,132,510,2,4,1,84,55
