id,buy_price,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage,horsepower,benzin,diesel,automatic,manual,time_online_to_reserve_
CB28192,32800,Mercedes-Benz,GLA-Klasse,GLA 200,Black,2020,SUV,Teilleder,16528,163,1,0,1,0,125
BB33600,23061,Skoda,Kamiq,1.5 TSI ACT,Gray,2021,SUV,Stoff,19156,150,1,0,1,0,16
BT56233,9897,Mercedes-Benz,B-Klasse,B 180 CDI,Gray,2014,Van,Stoff,101858,110,0,1,1,0,2
EG40450,9343,Ford,B-Max,1.0 EcoBoost,Brown,2016,Van,Stoff,32845,100,1,0,0,1,56
HS84279,16676,Volkswagen,Passat,2.0 TDI,Silver,2017,Kombi,Teilleder,84583,190,0,1,0,1,48
HA91420,12820,Opel,Astra K,1.4 SIDI Turbo,Black,2019,Limousine,Stoff,38948,125,1,0,0,1,39
CZ83011,19767,BMW,4er,420i Gran Coupé,Silver,2014,Coupe,Alcantara,96974,185,1,0,1,0,37
AE62750,9595,Citroen,C3,1.2 VTi,Blue,2017,Limousine,Stoff,37852,82,1,0,0,1,6
BX29327,13313,Audi,A1,1.4 TDI,Blue,2018,Limousine,Stoff,47378,90,0,1,0,1,2
DB86100,12815,Hyundai,i20,1.0 TGDI,Red,2019,Limousine,Stoff,15084,101,1,0,1,0,9
HV70656,9000,Hyundai,i10,1.0,Red,2019,Limousine,Stoff,1535,67,1,0,0,1,43
BG89221,8088,Hyundai,i20,1.2,White,2016,Limousine,Stoff,52061,85,1,0,0,1,43
ER97677,17850,Mercedes-Benz,A-Klasse,A 180,Gray,2017,Limousine,Teilleder,29642,122,1,0,1,0,100
AP50028,22602,Volkswagen,Passat,2.0 TDI,Black,2019,Kombi,Stoff,43421,150,0,1,1,0,54
AF12206,4719,Seat,Ibiza,1.4,White,2012,Limousine,Stoff,49232,85,1,0,0,1,23
LW57170,14992,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 180,Red,2016,Kombi,Teilleder,113457,122,1,0,1,0,45
KF17394,8843,Peugeot,308,1.2 e-THP,Red,2014,Kombi,Stoff,69769,130,1,0,0,1,36
KG15138,19873,Mercedes-Benz,C-Klasse,C 220 d,Black,2015,Kombi,Leder,56715,170,0,1,1,0,3
FS68002,8538,Renault,Twingo,1.0 SCe,White,2018,Limousine,Stoff,38577,70,1,0,1,0,23
DP51260,12119,Ford,Focus,1.5 EcoBoost,Gray,2015,Kombi,Stoff,38257,150,1,0,0,1,55
EH64680,24425,BMW,4er,440i Gran Coupé,Black,2017,Limousine,Leder,109581,325,1,0,1,0,60
GJ14601,11615,Hyundai,i30,1.0 TGDI,White,2018,Kombi,Stoff,52825,120,1,0,0,1,15
FV48500,17372,Hyundai,i30,1.0 T-GDI,Gray,2021,Kombi,Stoff,6823,120,1,0,0,1,22
BY72896,23275,Mercedes-Benz,CLS-Klasse,CLS 350 d Shooting Brake,Black,2014,Kombi,Leder,84266,258,0,1,1,0,65
LD04196,27096,BMW,5er,535d,Black,2016,Kombi,Leder,88808,313,0,1,1,0,64
AE31242,23764,Mercedes-Benz,GLA-Klasse,GLA 250,Black,2018,SUV,Teilleder,61013,210,1,0,1,0,50
FZ90795,18986,Alfa Romeo,Giulia,2.0 Turbo,Blue,2016,Limousine,Leder,91843,200,1,0,1,0,2
GF01031,15405,Renault,Scenic,1.3 TCe,Black,2019,Van,Stoff,42895,159,1,0,1,0,13
LS41311,11846,Mazda,CX-3,2.0,Black,2016,SUV,Stoff,64548,120,1,0,0,1,23
