dates,sales,unique_buyers
2019-12-27,433,355
2019-12-26,232,180
2019-12-25,238,188
2019-12-24,383,293
2019-12-23,635,516
2019-12-22,14,11
2019-12-21,513,398
2019-12-20,624,497
2019-12-19,597,489
2019-12-18,673,531
2019-12-17,591,501
2019-12-16,626,512
2019-12-15,16,15
2019-12-14,484,406
2019-12-13,577,466
2019-12-12,610,495
2019-12-11,643,517
2019-12-10,628,515
2019-12-09,701,540
2019-12-08,15,13
2019-12-07,463,384
2019-12-06,661,541
2019-12-05,628,523
2019-12-04,647,542
2019-12-03,674,541
2019-12-02,672,555
2019-12-01,7,7
2019-11-30,478,394
2019-11-29,630,504
2019-11-28,720,576
2019-11-27,601,496
2019-11-26,710,587
2019-11-25,786,628
2019-11-24,16,16
2019-11-23,567,447
2019-11-22,702,571
2019-11-21,669,544
2019-11-20,732,612
2019-11-19,747,612
2019-11-18,774,627
2019-11-17,15,13
2019-11-16,546,450
2019-11-15,700,582
2019-11-14,703,574
2019-11-13,681,558
2019-11-12,744,597
2019-11-11,745,589
2019-11-10,16,16
2019-11-09,581,454
2019-11-08,791,635
2019-11-07,733,587
2019-11-06,699,555
2019-11-05,736,580
2019-11-04,797,624
2019-11-03,10,10
2019-11-02,541,436
2019-11-01,520,436
2019-10-31,711,590
2019-10-30,733,586
2019-10-29,749,610
2019-10-28,856,696
2019-10-27,18,16
2019-10-26,536,438
2019-10-25,735,593
2019-10-24,748,599
2019-10-23,717,567
2019-10-22,805,636
2019-10-21,793,621
2019-10-20,17,16
2019-10-19,549,434
2019-10-18,733,591
2019-10-17,744,624
2019-10-16,732,600
2019-10-15,747,587
2019-10-14,890,679
2019-10-13,14,14
2019-10-12,565,456
2019-10-11,733,603
2019-10-10,776,611
2019-10-09,723,582
2019-10-08,797,645
2019-10-07,841,664
2019-10-06,13,13
2019-10-05,580,468
2019-10-04,605,511
2019-10-03,529,416
2019-10-02,806,654
2019-10-01,826,656
2019-09-30,924,737
2019-09-29,19,19
2019-09-28,528,428
2019-09-27,807,681
2019-09-26,801,651
2019-09-25,844,679
2019-09-24,810,686
2019-09-23,875,686
2019-09-22,18,17
2019-09-21,552,448
2019-09-20,757,608
2019-09-19,777,608
2019-09-18,802,646
2019-09-17,795,614
2019-09-16,909,697
2019-09-15,16,14
2019-09-14,614,493
2019-09-13,756,613
2019-09-12,810,625
2019-09-11,802,620
2019-09-10,834,660
2019-09-09,887,681
2019-09-08,15,15
2019-09-07,528,421
2019-09-06,754,611
2019-09-05,754,613
2019-09-04,760,590
2019-09-03,788,607
2019-09-02,799,633
2019-09-01,12,11
2019-08-31,515,384
2019-08-30,766,582
2019-08-29,726,583
2019-08-28,717,562
2019-08-27,779,625
2019-08-26,826,630
2019-08-25,24,22
2019-08-24,510,397
2019-08-23,766,587
2019-08-22,753,575
2019-08-21,785,629
2019-08-20,755,566
2019-08-19,823,621
2019-08-18,15,13
2019-08-17,486,374
2019-08-16,723,558
2019-08-15,711,545
2019-08-14,733,557
2019-08-13,713,550
2019-08-12,788,597
2019-08-11,17,17
2019-08-10,483,379
2019-08-09,756,596
2019-08-08,731,573
2019-08-07,791,567
2019-08-06,679,531
2019-08-05,803,612
2019-08-04,16,15
2019-08-03,515,383
2019-08-02,722,555
2019-08-01,662,527
2019-07-31,676,523
2019-07-30,715,529
2019-07-29,714,554
2019-07-28,9,9
2019-07-27,493,379
2019-07-26,746,577
2019-07-25,750,584
2019-07-24,672,526
2019-07-23,755,594
2019-07-22,798,616
2019-07-21,20,16
2019-07-20,477,381
2019-07-19,663,507
2019-07-18,727,567
2019-07-17,761,580
2019-07-16,704,544
2019-07-15,833,625
2019-07-14,20,20
2019-07-13,500,382
2019-07-12,734,574
2019-07-11,679,549
2019-07-10,695,532
2019-07-09,737,564
2019-07-08,849,683
2019-07-07,17,13
2019-07-06,408,326
2019-07-05,692,537
2019-07-04,669,521
2019-07-03,632,503
2019-07-02,677,527
2019-07-01,698,519
2019-06-30,19,19
2019-06-29,437,351
2019-06-28,660,519
2019-06-27,618,522
2019-06-26,647,502
2019-06-25,683,534
2019-06-24,693,552
2019-06-23,18,16
2019-06-22,479,375
2019-06-21,571,463
2019-06-20,573,427
2019-06-19,661,504
2019-06-18,647,507
2019-06-17,807,593
2019-06-16,11,10
2019-06-15,423,330
2019-06-14,656,526
2019-06-13,771,546
2019-06-12,503,418
2019-06-11,718,561
2019-06-10,527,373
2019-06-09,15,15
2019-06-08,440,358
2019-06-07,608,478
2019-06-06,635,509
2019-06-05,606,487
2019-06-04,674,518
2019-06-03,716,575
2019-06-02,18,17
2019-06-01,519,412
2019-05-31,587,466
2019-05-30,410,337
2019-05-29,675,536
2019-05-28,703,548
2019-05-27,700,546
2019-05-26,27,24
2019-05-25,515,393
2019-05-24,646,534
