company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_cluster
TR Premium Cars,1,Small_buyer,1,8,6,441,2021,8523,49000,0,100,0,0,0,100,-1500
AUTODIAG 19,1,Small_buyer,1,10,4,333,2011,151111,13746,100,0,0,0,100,0,750
SŁAWOMIR LESIECKI AUTO-EURO,1,Small_buyer,1,8,2,143,2009,211736,3733,0,0,100,0,100,0,750
AUTOMOVILES PARRA BLESA SL,1,Small_buyer,1,10,4,150,2017,121843,15850,100,0,0,100,0,0,1250
Eurl garage ouvrier Benoit,1,Small_buyer,1,9,2,75,2014,162571,4780,0,0,100,100,0,0,375
NaMiCar Michał Naworol,2,Small_buyer,1,9,3,135,2010,138328,4203,0,50,50,0,100,0,375
"Sonnenberg Automobile, Inh. Dietmar Sonnenberg",1,Small_buyer,1,5,4,150,2018,59481,16500,100,0,0,0,100,0,125
"Muhm Automobile, Inh. Thomas Muhm",4,Small_buyer,2,6,7,178,2014,140562,15837,50,0,50,50,50,0,750
Hetzler-Automobile Vertr. GmbH&Co.KG,1,Small_buyer,1,10,5,190,2019,23912,31698,0,100,0,100,0,0,750
SILVIA PATRICIA RODRIGUES ALVES,1,Small_buyer,1,10,4,122,2013,183690,10300,0,0,100,0,100,0,375
"Dündar Autohandel, Inh. Mehmet Dündar",4,Small_buyer,2,3,3,88,2006,207199,1319,0,0,100,50,50,0,375
Mercedes-Benz Autohaus Herten GmbH Düren,2,Small_buyer,1,1,6,180,2014,55272,18704,0,100,0,50,50,0,750
"IK-Automobile, Inh. Ihsan Karalioglu",8,Small_buyer,3,7,7,139,2010,115510,7553,12,12,75,37,62,0,750
BANIX VEICULOS TRANSPORTE SA,2,Small_buyer,1,7,7,169,2020,12154,30127,0,100,0,0,0,100,1500
"Bose Automobile, Inh. Murat Celtik",2,Small_buyer,1,10,5,381,2010,163095,14851,0,100,0,0,100,0,375
AH Primm GmbH,8,Small_buyer,3,9,3,81,2002,107307,803,0,12,87,0,100,0,125
BD Garage s.r.o.,10,Small_buyer,4,7,9,170,2014,184698,12305,40,10,50,90,10,0,1250
STAR AUTO LEASING S.R.L.,2,Small_buyer,1,9,2,127,2005,167904,1700,0,0,100,0,100,0,375
GUILLERMO GARCIA PEÑA,1,Small_buyer,1,9,3,180,2010,179569,9690,100,0,0,100,0,0,750
FIRST AUTOEXPRESS SRL,1,Small_buyer,1,8,3,143,2008,186440,5254,0,0,100,100,0,0,750
SARL Auto Franklin,5,Small_buyer,3,7,7,129,2015,51588,14357,20,0,80,40,60,0,375
Auto Dincher GmbH,7,Small_buyer,3,8,8,117,2015,68415,11958,71,0,28,14,85,0,1250
B&K GmbH,8,Small_buyer,3,9,9,194,2019,32724,28803,25,50,25,12,87,0,125
"Autovertrieb & Service, Inh. Michaela Krakowski",20,Medium_buyer,6,6,10,205,2014,136908,14326,15,80,5,75,25,0,750
Suomen Autoliike Oy,1,Small_buyer,1,10,7,513,2021,47543,56175,0,100,0,0,0,100,1500
ROUMELIOTOY EVDOXIA CHRISTOS,1,Small_buyer,1,10,2,110,2014,177703,4349,0,0,100,100,0,0,375
MAGA CONTROLL Szolgáltató Korlátolt Felelősségű Társaság,1,Small_buyer,1,10,5,120,2017,55492,21362,0,100,0,0,0,100,1250
Automobiles Patrice Esch,1,Small_buyer,1,9,3,90,2018,42196,9072,0,0,100,0,100,0,750
Wash24 OÜ,1,Small_buyer,1,10,5,325,2016,156751,26329,0,100,0,0,100,0,750
"Autohaus Asberg, Inh. Enes Kulaberoglu",1,Small_buyer,1,6,2,102,2005,180631,2500,0,100,0,0,100,0,1250
Autohaus Steinhart & Kraus GmbH & Co. KG,30,Medium_buyer,7,1,11,144,2016,59805,21112,63,6,30,26,70,3,750
Zwiep Totaal Techniek,2,Small_buyer,1,10,4,97,2015,75548,9384,0,0,100,0,100,0,1250
MB Lifemind,2,Small_buyer,1,9,3,153,2007,336043,3025,0,0,100,100,0,0,375
Autohaus Gruber GmbH,1,Small_buyer,1,10,3,90,2014,95774,6100,0,0,100,100,0,0,375
"Auto-Haunreiter, Inh. Gregor Haunreiter",6,Small_buyer,3,7,7,159,2011,107904,10658,0,16,83,33,66,0,750
"OiL! Tankstelle Akansu, Inh. Ibo Akansu",28,Medium_buyer,6,3,7,124,2006,198673,2612,0,32,67,50,50,0,125
