company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
DESIDERIO AUTO SAS DEI F.LLI DESIDERIOSCIOLI A.& S.,2,Small_buyer,1,10,2,55,2009,78885,1788,0,0,1,0,1,0,775.5
Baudisch & Baudisch GbR,1,Small_buyer,1,7,2,87,2013,69060,4812,0,0,1,0,1,0,655
DEROCQ MENARD,1,Small_buyer,1,3,2,87,2006,139602,3417,0,1,0,0,1,0,929
AUTO-FRED Radosław Federak,2,Small_buyer,1,10,4,80,2014,92374,7652,0,0.5,0.5,0.5,0,0.5,454
MARSIM PROMPT 2003 SRL,2,Small_buyer,1,8,5,140,2015,139689,12411,0.5,0,0.5,1,0,0,1220
SAS INDRA SAS,3,Small_buyer,2,3,1,93,2002,115495,123,0.333333333,0,0.666666667,0,1,0,-236.3333333
MALPEN_C_SABKOV I S_IE,1,Small_buyer,1,10,5,240,2017,189668,27500,1,0,0,1,0,0,801
CARROSSERIE AUTO PLUS,2,Small_buyer,1,6,6,168,2018,130107,18599,0.5,0,0.5,1,0,0,708.5
FERNANDO JOSE SILVA BERROCAL,1,Small_buyer,1,9,3,185,2011,192678,6300,0,0,1,1,0,0,300
AUTOMERCATO 2000 S.R.L.,4,Small_buyer,2,5,7,118,2018,37074,17273,0.5,0.25,0.25,0.5,0.5,0,1281.75
KAMEI POLSKA KATARZYNA ŻYWANOWSKA,1,Small_buyer,1,10,2,140,2011,202887,2815,1,0,0,1,0,0,-421
"Autozentrum Mainspitze, Inh. Ertugrul Eroglu",1,Small_buyer,1,10,4,150,2014,137623,12700,1,0,0,1,0,0,1855
URBAN BOGUSŁAW AUTO-HANDEL,15,Medium_buyer,5,3,4,94,2004,220826,800,0,0,1,0.4,0.6,0,124.2666667
Nagyváti Péter E.V.,1,Small_buyer,1,10,3,105,2011,200404,5521,0,0,1,1,0,0,665
Hračja Tadevosjan,2,Small_buyer,1,9,2,95,2007,252962,985,0,0,1,0.5,0.5,0,296.5
KFZ Pfeiffenberger,1,Small_buyer,1,9,3,105,2014,239334,8000,0,0,1,1,0,0,322
RMK CARS s.r.o.,4,Small_buyer,2,3,4,115,2010,194049,4634,0.25,0,0.75,0.5,0.5,0,831.75
"""EVROTRANS - PETROV 2021"" LTD",2,Small_buyer,1,3,2,225,2004,228159,2355,0,1,0,0,1,0,477
"""AUTO NELI"" Ltd",1,Small_buyer,1,9,2,140,2006,215906,2550,0,0,1,0,1,0,101
RRTV - IMPORT AND EXPORT LDA,12,Small_buyer,4,9,8,153,2011,138426,7807,0.25,0,0.75,0.083333333,0.916666667,0,745.9166667
HORVAT AUTOMOBILI D.O.O.,10,Small_buyer,4,7,9,122,2017,93804,14909,0,0,1,1,0,0,554.2
FONDEMAR UNITED SL,2,Small_buyer,1,9,6,255,2014,91406,18073,0,0,1,0,1,0,1211.5
AUTO MOTOR FLAT,5,Small_buyer,3,10,10,369,2015,50313,78230,1,0,0,0,1,0,2284.6
PLUS AUTO SHOP S.R.L.,3,Small_buyer,2,8,3,98,1997,128316,1710,0,0.333333333,0.666666667,0,1,0,522.3333333
