id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,benzin,diesel,hybrid,automatic,manual,time_online_to_reserve_
VN60917,16335,DE,0,Audi,Q3,1.4 TFSI,Blue,2015,SUV,Stoff,5.8,82726,150,1,0,0,1,0,79
WE06981,18023,DE,0,Volkswagen,T-Roc,1.0 TSI,Blue,2018,SUV,Stoff,5.1,32721,115,1,0,0,0,1,12
AC84371,21013,DE,0,Audi,Q2,1.4 TFSI ACT,Red,2017,SUV,Stoff,5.8,11719,150,1,0,0,0,1,57
AF09985,8500,DE,0,Ford,Fiesta,1.0 EcoBoost,Black,2015,Limousine,Stoff,4.3,16387,100,1,0,0,0,1,10
TX35922,10000,DE,0,Volkswagen,Golf VII,1.4 TSI,Black,2016,Kombi,Stoff,5.3,106391,125,1,0,0,0,1,11
AC29091,16139,DE,0,Mercedes-Benz,A-Klasse,A 180,White,2016,Limousine,Teilleder,5.6,42600,122,1,0,0,1,0,2
YK43185,17944,DE,0,Skoda,Superb,2.0 TDI,White,2017,Kombi,Leder,4.2,101071,190,0,1,0,0,1,9
AL05444,13248,DE,0,Nissan,Juke,1.6,Black,2019,SUV,Teilleder,7.0,6629,113,1,0,0,0,1,64
SA57498,25000,DE,0,Ford,Focus,2.3 EcoBoost,Red,2020,Kombi,Teilleder,8.2,23867,280,1,0,0,1,0,5
LG00473,4412,DE,0,Nissan,Note,1.2,Gray,2013,Van,Stoff,4.7,55856,80,1,0,0,0,1,32
RB28165,11218,BE,0,Volkswagen,Golf VII,1.2 TSI,Gray,2014,Limousine,Stoff,4.6,95289,105,1,0,0,1,0,61
MH82421,11973,DE,0,Volkswagen,Golf VI,2.0 TDI,White,2015,Cabrio,Stoff,5.1,102063,140,0,1,0,1,0,46
DL71615,7518,DE,0,Ford,Focus,1.0 EcoBoost,Black,2013,Limousine,Teilleder,5.0,50608,125,1,0,0,0,1,24
CZ79551,10107,DE,0,Volkswagen,Golf VII,1.2 TSI,Gray,2016,Limousine,Stoff,4.9,94622,85,1,0,0,0,1,79
EF77064,14239,DE,1,BMW,X1,sDrive 18i,Beige,2012,SUV,Leder,8.4,26373,150,1,0,0,1,0,7
DZ17376,7734,DE,0,Renault,Twingo,0.9 Energy,White,2019,Limousine,Stoff,4.8,6974,90,1,0,0,0,1,102
EJ03110,5855,DE,0,Volkswagen,Polo,1.2 TSI,Black,2013,Limousine,Stoff,5.1,85352,90,1,0,0,0,1,15
EK28705,9721,BE,0,Ford,Fiesta,1.0 EcoBoost,White,2017,Limousine,Stoff,4.3,22221,100,1,0,0,0,1,133
DZ20308,16091,DE,0,Volkswagen,Golf VII,1.4 TSI,Gray,2018,Kombi,Stoff,5.2,55906,125,1,0,0,1,0,35
DS63811,14229,DE,0,Ford,Kuga,1.5 EcoBoost,Gray,2016,SUV,Teilleder,6.2,33862,150,1,0,0,0,1,25
YH48787,5519,DE,0,Opel,Adam,1.4,Red,2014,Limousine,Stoff,5.5,83146,87,1,0,0,0,1,3
XD90342,8011,NL,0,Kia,Sportage,1.6 GDI,Gray,2012,SUV,Leder,6.8,93922,135,1,0,0,0,1,26
XD51496,13420,DE,0,Skoda,Octavia,1.6 TDI,Black,2018,Kombi,Stoff,3.9,83389,115,0,1,0,1,0,9
YB94713,7842,DE,0,Hyundai,i30,1.4,Black,2016,Limousine,Stoff,5.6,46143,100,1,0,0,0,1,8
ZP56616,10572,DE,0,Opel,Astra K,1.6 CDTI DPF,Gray,2017,Limousine,Stoff,4.3,93013,135,0,1,0,1,0,1
EM44800,6370,DE,0,Seat,Leon,1.4 TSI,White,2012,Limousine,Stoff,4.7,98240,125,1,0,0,0,1,1
YN26337,7860,DE,0,Ford,Focus,1.5 TDCi,Black,2015,Kombi,Stoff,3.8,102558,120,0,1,0,0,1,1
YT55467,19453,DE,0,Hyundai,Kona,1.6 TGDI,Red,2019,SUV,Teilleder,6.3,11878,177,1,0,0,1,0,36
ZY78691,7540,PL,0,Skoda,Yeti,1.2 TSI,Gray,2013,SUV,Stoff,6.6,93886,105,1,0,0,1,0,12
LJ69680,19210,DE,0,Jaguar,XF,20d,Black,2016,Limousine,Teilleder,4.9,97541,180,0,1,0,1,0,1
NY29577,14705,DE,0,Seat,Leon,1.4 TSI,White,2017,Kombi,Teilleder,4.7,72856,150,1,0,0,1,0,1
AH61274,10407,DE,0,Volkswagen,Golf VII,1.2 TSI,Black,2014,Limousine,Stoff,4.8,106383,105,1,0,0,1,0,1
LE66460,39149,DE,1,Volkswagen,T6 Multivan,2.0 TDI,Black,2017,Bus,Teilleder,6.6,105153,205,0,1,0,1,0,3
LP86458,24157,DE,0,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 200,Gray,2018,Kombi,Leder,5.6,56554,155,1,0,0,1,0,81
HL04851,5707,SI,0,Opel,Corsa,1.4,White,2014,Limousine,Stoff,5.7,36903,100,1,0,0,0,1,21
HG40466,6406,DE,0,Suzuki,Celerio,1.0,Blue,2016,Limousine,Stoff,4.3,83682,68,1,0,0,1,0,16
JB66497,10040,DE,0,Ford,Fiesta,1.0 EcoBoost,White,2017,Limousine,Stoff,4.5,50812,140,1,0,0,0,1,100
GP38090,20793,DE,0,Mercedes-Benz,GLA-Klasse,GLA 220 d,Gray,2017,SUV,Teilleder,4.8,54744,177,0,1,0,1,0,45
HU82246,10310,DE,0,Seat,Leon,1.4 TSI,Black,2015,Limousine,Stoff,5.2,54983,125,1,0,0,0,1,7
HT51437,10658,DE,0,Seat,Leon,1.4 TSI,White,2016,Limousine,Teilleder,5.2,96895,125,1,0,0,0,1,7
JB89993,21669,DE,0,Jeep,Compass,1.4 M-Air,Gray,2018,SUV,Leder,6.8,6765,140,1,0,0,0,1,35
JL75584,15608,DE,0,Toyota,Auris,1.8 Hybrid,Gray,2018,Limousine,Stoff,4.0,26115,100,0,0,1,1,0,2
LJ88577,19727,DE,0,Jeep,Compass,1.4 M-Air,White,2017,SUV,Leder,6.9,41140,170,1,0,0,1,0,14
KS89173,26113,DE,0,Volkswagen,Passat,1.4 GTE,White,2017,Kombi,Teilleder,1.7,68635,218,0,0,1,1,0,5
UT99503,6700,DE,0,Seat,Ibiza,1.4,Black,2013,Limousine,Stoff,5.9,63156,85,1,0,0,0,1,81
UF29226,25000,DE,0,Ford,S-Max,1.5 EcoBoost,Gray,2018,Van,Stoff,7.4,12856,165,1,0,0,0,1,23
UN43570,14875,DE,0,Nissan,Juke,1.6,White,2017,SUV,Alcantara,7.2,27732,218,1,0,0,0,1,34
UL28464,31663,DE,0,Cupra,Ateca,2.0 TSI,Black,2019,SUV,Teilleder,7.4,22003,300,1,0,0,1,0,73
TH47246,10300,DE,0,Renault,Captur,1.5 dCi Energy,Brown,2015,SUV,Alcantara,3.7,59779,110,0,1,0,0,1,42
VM23586,20543,DE,0,BMW,2er,228i,Gray,2016,Coupe,Alcantara,6.3,80921,245,1,0,0,1,0,9
UV04678,16095,DE,0,Nissan,X-Trail,1.6 dCi,Black,2016,SUV,Leder,5.1,67288,130,0,1,0,1,0,60
MB54328,24084,DE,0,Audi,Q3,2.0 TFSI,Gray,2017,SUV,Teilleder,7.0,10390,180,1,0,0,1,0,35
VJ76081,17021,DE,0,Ford,Kuga,2.0 TDCi,Gray,2018,SUV,Alcantara,4.7,66925,150,0,1,0,0,1,10
MJ11753,12133,DE,0,Ford,Fiesta,1.0 EcoBoost,Blue,2020,Limousine,Stoff,4.1,9703,95,1,0,0,0,1,7
JC67232,6965,DE,0,Opel,Corsa,1.0,White,2016,Limousine,Stoff,4.8,75981,115,1,0,0,0,1,16
HZ56613,3600,DE,0,Volkswagen,up!,1.0,White,2013,Limousine,Stoff,4.5,109060,60,1,0,0,0,1,5
JE26271,27737,DE,0,Audi,A6 Allroad,3.0 V6 TDI clean diesel,White,2017,Kombi,Alcantara,6.0,72673,190,0,1,0,1,0,54
SR34802,32383,DE,0,Volvo,XC 90,2.0 D5,Gray,2017,SUV,Leder,5.7,100547,235,0,1,0,1,0,1
UU73151,17594,DE,0,BMW,5er,530d,Black,2013,Kombi,Leder,5.3,105865,258,0,1,0,1,0,1
UA28658,5688,DE,0,Renault,Twingo,0.9 Energy,White,2016,Limousine,Stoff,4.3,36262,90,1,0,0,0,1,5
