day,sales,unique_buyers
2022_05_26,339,276
2022_05_25,593,480
2022_05_24,625,478
2022_05_23,616,502
2022_05_22,30,27
2022_05_21,547,432
2022_05_20,702,550
2022_05_19,596,478
2022_05_18,566,470
2022_05_17,556,450
2022_05_16,526,426
2022_05_15,46,43
2022_05_14,447,349
2022_05_13,582,482
2022_05_12,552,452
2022_05_11,568,454
2022_05_10,596,495
2022_05_09,575,473
2022_05_08,24,21
2022_05_07,493,391
2022_05_06,606,499
2022_05_05,568,467
2022_05_04,582,464
2022_05_03,607,471
2022_05_02,632,496
2022_04_30,524,413
2022_04_29,529,444
2022_04_28,566,479
2022_04_27,586,492
2022_04_26,558,435
2022_04_25,576,469
2022_04_24,31,25
2022_04_23,500,385
2022_04_22,592,464
2022_04_21,582,467
2022_04_20,543,447
2022_04_19,426,352
2022_04_18,184,149
2022_04_17,23,18
2022_04_16,280,238
2022_04_15,337,271
2022_04_14,538,442
2022_04_13,529,431
2022_04_12,556,454
2022_04_11,588,469
2022_04_10,32,26
2022_04_09,455,389
2022_04_08,509,432
2022_04_07,568,474
2022_04_06,524,439
2022_04_05,611,503
2022_04_04,582,466
2022_04_03,50,40
2022_04_02,512,408
2022_04_01,631,494
2022_03_31,624,493
2022_03_30,599,475
2022_03_29,665,511
2022_03_28,534,455
2022_03_27,19,17
2022_03_26,480,388
2022_03_25,543,439
2022_03_24,597,449
2022_03_23,526,435
2022_03_22,585,463
2022_03_21,576,474
2022_03_20,40,39
2022_03_19,527,420
2022_03_18,549,455
2022_03_17,550,467
2022_03_16,574,465
2022_03_15,606,481
2022_03_14,573,450
2022_03_13,32,26
2022_03_12,514,399
2022_03_11,496,404
2022_03_10,550,448
2022_03_09,498,395
2022_03_08,505,420
2022_03_07,518,416
2022_03_06,41,30
2022_03_05,490,404
2022_03_04,573,454
2022_03_03,523,416
2022_03_02,565,456
2022_03_01,527,427
2022_02_28,566,452
2022_02_27,44,41
2022_02_26,434,356
2022_02_25,566,436
2022_02_24,529,416
2022_02_23,553,449
2022_02_22,642,507
2022_02_21,619,491
2022_02_20,30,28
2022_02_19,532,423
2022_02_18,729,572
2022_02_17,587,486
2022_02_16,673,536
2022_02_15,683,527
2022_02_14,654,506
2022_02_13,31,27
2022_02_12,496,418
2022_02_11,575,472
2022_02_10,547,443
2022_02_09,595,481
2022_02_08,681,556
2022_02_07,646,519
2022_02_06,28,25
2022_02_05,568,444
2022_02_04,566,470
2022_02_03,541,448
2022_02_02,597,496
2022_02_01,637,502
2022_01_31,637,510
2022_01_30,23,22
2022_01_29,549,424
2022_01_28,549,442
2022_01_27,554,451
2022_01_26,670,514
2022_01_25,623,513
2022_01_24,633,506
2022_01_23,29,25
2022_01_22,543,444
2022_01_21,654,521
2022_01_20,580,473
2022_01_19,604,497
2022_01_18,680,545
2022_01_17,671,530
2022_01_16,35,29
2022_01_15,573,474
2022_01_14,850,649
2022_01_13,447,356
2022_01_12,617,471
2022_01_11,725,531
2022_01_10,634,493
2022_01_09,44,32
2022_01_08,660,504
2022_01_07,684,544
2022_01_06,632,493
2022_01_05,681,528
2022_01_04,647,506
2022_01_03,586,463
2022_01_02,39,31
2022_01_01,155,124
2021_12_31,420,334
2021_12_30,665,515
2021_12_29,647,490
2021_12_28,542,438
2021_12_27,440,361
2021_12_26,32,24
2021_12_25,162,136
2021_12_24,270,219
2021_12_23,541,418
2021_12_22,554,434
2021_12_21,555,432
2021_12_20,523,439
2021_12_19,30,29
2021_12_18,446,366
2021_12_17,549,451
2021_12_16,555,419
2021_12_15,589,454
2021_12_14,565,435
2021_12_13,538,450
2021_12_12,28,25
2021_12_11,492,401
2021_12_10,570,448
2021_12_09,468,392
2021_12_08,598,469
2021_12_07,651,512
2021_12_06,568,445
2021_12_05,13,13
2021_12_04,512,427
2021_12_03,612,509
2021_12_02,613,479
2021_12_01,574,460
2021_11_30,638,494
2021_11_29,583,469
2021_11_28,21,19
2021_11_27,481,396
2021_11_26,612,495
2021_11_25,585,463
2021_11_24,584,473
2021_11_23,622,523
2021_11_22,615,483
2021_11_21,28,20
2021_11_20,518,451
2021_11_19,651,531
2021_11_18,625,494
2021_11_17,650,517
2021_11_16,649,519
2021_11_15,673,522
2021_11_14,19,19
2021_11_13,530,422
2021_11_12,670,544
2021_11_11,566,465
2021_11_10,679,537
2021_11_09,707,558
2021_11_08,652,515
2021_11_07,23,20
2021_11_06,601,467
2021_11_05,701,570
2021_11_04,610,498
2021_11_03,660,514
2021_11_02,612,469
2021_11_01,522,407
2021_10_31,22,22
2021_10_30,577,457
2021_10_29,675,548
2021_10_28,652,546
2021_10_27,721,580
2021_10_26,744,554
2021_10_25,676,523
2021_10_24,30,29
2021_10_23,520,441
2021_10_22,752,589
2021_10_21,886,671
2021_10_20,548,412
2021_10_19,744,583
2021_10_18,682,560
2021_10_17,28,25
2021_10_16,556,456
2021_10_15,786,645
2021_10_14,735,596
2021_10_13,730,576
2021_10_12,710,562
2021_10_11,654,543
2021_10_10,23,20
2021_10_09,540,432
2021_10_08,697,572
2021_10_07,739,574
2021_10_06,743,587
2021_10_05,742,565
2021_10_04,653,555
2021_10_03,27,24
2021_10_02,549,437
2021_10_01,721,572
2021_09_30,686,553
2021_09_29,698,546
2021_09_28,691,542
2021_09_27,653,532
2021_09_26,31,26
2021_09_25,564,455
2021_09_24,699,558
2021_09_23,723,585
2021_09_22,652,528
2021_09_21,687,554
2021_09_20,660,536
2021_09_19,31,29
2021_09_18,511,408
2021_09_17,663,530
2021_09_16,684,538
2021_09_15,685,557
2021_09_14,682,546
2021_09_13,636,506
2021_09_12,26,24
2021_09_11,583,474
2021_09_10,710,585
2021_09_09,705,555
2021_09_08,737,589
2021_09_07,734,578
2021_09_06,729,590
2021_09_05,18,18
2021_09_04,528,415
2021_09_03,657,515
2021_09_02,662,535
2021_09_01,704,570
2021_08_31,733,557
2021_08_30,709,556
2021_08_29,28,27
2021_08_28,635,507
2021_08_27,719,578
2021_08_26,729,567
2021_08_25,750,574
2021_08_24,752,570
2021_08_23,679,531
2021_08_22,40,34
2021_08_21,531,440
2021_08_20,656,508
2021_08_19,716,558
2021_08_18,692,550
2021_08_17,688,524
2021_08_16,654,499
2021_08_15,17,17
2021_08_14,529,434
2021_08_13,712,566
2021_08_12,739,559
2021_08_11,685,521
2021_08_10,648,506
2021_08_09,652,526
2021_08_08,27,26
2021_08_07,529,408
2021_08_06,691,543
2021_08_05,758,555
2021_08_04,662,562
2021_08_03,712,546
2021_08_02,576,461
2021_08_01,26,23
2021_07_31,581,457
2021_07_30,656,540
2021_07_29,688,536
2021_07_28,682,534
2021_07_27,684,544
2021_07_26,678,528
2021_07_25,22,22
2021_07_24,556,455
2021_07_23,778,596
2021_07_22,695,530
2021_07_21,662,520
2021_07_20,691,516
2021_07_19,675,534
2021_07_18,17,17
2021_07_17,547,433
2021_07_16,682,551
2021_07_15,702,526
2021_07_14,650,532
2021_07_13,677,523
2021_07_12,648,531
2021_07_11,11,11
2021_07_10,512,415
2021_07_09,683,540
2021_07_08,684,539
2021_07_07,651,505
2021_07_06,675,528
2021_07_05,661,533
2021_07_04,22,21
2021_07_03,611,477
2021_07_02,676,510
2021_07_01,688,536
2021_06_30,717,567
2021_06_29,570,469
2021_06_28,697,546
2021_06_27,20,19
2021_06_26,580,444
2021_06_25,696,555
2021_06_24,685,535
2021_06_23,667,516
2021_06_22,642,503
2021_06_21,656,528
2021_06_20,15,15
2021_06_19,564,461
2021_06_18,645,518
2021_06_17,673,533
2021_06_16,665,515
2021_06_15,676,531
2021_06_14,681,513
2021_06_13,16,15
2021_06_12,609,471
2021_06_11,718,545
2021_06_10,723,574
2021_06_09,720,568
2021_06_08,717,543
2021_06_07,711,554
2021_06_06,28,26
2021_06_05,593,467
2021_06_04,598,485
2021_06_03,637,474
2021_06_02,670,518
2021_06_01,685,544
2021_05_31,700,568
2021_05_30,21,18
2021_05_29,558,454
2021_05_28,741,578
2021_05_27,696,533
2021_05_26,717,550
2021_05_25,568,465
2021_05_24,409,325
2021_05_23,20,20
2021_05_22,663,512
2021_05_21,660,532
2021_05_20,752,594
2021_05_19,711,568
2021_05_18,743,576
2021_05_17,699,549
2021_05_16,47,46
2021_05_15,594,475
2021_05_14,613,487
2021_05_13,531,409
2021_05_12,677,547
2021_05_11,714,559
2021_05_10,760,586
2021_05_09,13,13
2021_05_08,641,487
2021_05_07,688,551
2021_05_06,723,554
2021_05_05,679,537
2021_05_04,628,494
2021_05_03,628,514
2021_05_02,25,20
2021_05_01,417,343
2021_04_30,686,570
2021_04_29,673,569
2021_04_28,688,544
2021_04_27,647,546
2021_04_26,718,550
2021_04_25,27,27
2021_04_24,544,445
2021_04_23,642,529
2021_04_22,647,507
2021_04_21,666,549
2021_04_20,640,520
2021_04_19,676,550
2021_04_18,57,53
2021_04_17,518,418
2021_04_16,649,533
2021_04_15,618,502
2021_04_14,688,548
2021_04_13,666,531
2021_04_12,652,517
2021_04_11,24,23
2021_04_10,658,526
2021_04_09,678,543
2021_04_08,701,568
2021_04_07,661,521
2021_04_06,438,367
2021_04_05,331,259
2021_04_04,24,20
2021_04_03,430,362
2021_04_02,416,338
2021_04_01,604,494
2021_03_31,636,494
2021_03_30,921,708
2021_03_29,465,369
2021_03_28,26,21
2021_03_27,599,475
2021_03_26,620,505
2021_03_25,605,493
2021_03_24,610,500
2021_03_23,649,515
2021_03_22,621,498
2021_03_21,28,24
2021_03_20,621,497
2021_03_19,600,487
2021_03_18,718,553
2021_03_17,637,521
2021_03_16,693,548
2021_03_15,680,530
2021_03_14,33,31
2021_03_13,655,525
2021_03_12,696,540
2021_03_11,680,552
2021_03_10,646,538
2021_03_09,663,550
2021_03_08,632,517
2021_03_07,32,26
2021_03_06,605,485
2021_03_05,618,491
2021_03_04,662,522
2021_03_03,620,477
2021_03_02,599,489
2021_03_01,607,485
2021_02_28,27,23
2021_02_27,564,447
2021_02_26,593,481
2021_02_25,567,466
2021_02_24,537,417
2021_02_23,527,440
2021_02_22,536,443
2021_02_21,28,18
2021_02_20,499,405
2021_02_19,477,407
2021_02_18,518,422
2021_02_17,441,376
2021_02_16,482,406
2021_02_15,480,394
2021_02_14,17,13
2021_02_13,500,392
2021_02_12,555,458
2021_02_11,463,392
2021_02_10,436,365
2021_02_09,492,398
2021_02_08,556,468
2021_02_07,29,27
2021_02_06,523,431
2021_02_05,568,462
2021_02_04,519,424
2021_02_03,519,421
2021_02_02,539,436
2021_02_01,602,480
2021_01_31,13,11
2021_01_30,535,445
2021_01_29,530,430
2021_01_28,568,467
2021_01_27,531,433
2021_01_26,526,424
2021_01_25,553,442
2021_01_24,51,50
2021_01_23,485,398
2021_01_22,508,442
2021_01_21,490,389
2021_01_20,521,440
2021_01_19,488,392
2021_01_18,585,492
2021_01_17,33,32
2021_01_16,464,369
2021_01_15,485,407
2021_01_14,500,396
2021_01_13,473,401
2021_01_12,470,365
2021_01_11,553,450
2021_01_10,17,17
2021_01_09,419,353
2021_01_08,478,393
2021_01_07,469,363
2021_01_06,441,363
2021_01_05,410,341
2021_01_04,520,420
2021_01_03,25,25
2021_01_02,1739,1077
2020_12_30,2,2
2020_12_29,107,97
2020_12_28,335,288
2020_12_27,16,15
2020_12_26,130,92
